公共卫生学院,,﻿,复旦大学公共卫生学院,,,,一,﻿复旦大学公共卫生学院是国内一流的公共卫生机构。
公共卫生学院,卫生学院,是国内的公共卫生机构,,,学院,,一,﻿复旦大学公共卫生学院是国内一流的公共卫生机构。
公共卫生学院,学院,以为,国家培养高质量的公共卫生与预防医学和卫生管理高层次人才为己任，培养和造就了一大批国内外知名的专家教授,,,,,学院始终以为国家培养高质量的公共卫生与预防医学和卫生管理高层次人才为己任，培养和造就了一大批国内外知名的专家教授，在国家及地区疾病的预防控制和卫生事业的发展中发挥了重要作用。
公共卫生学院,学院,培养,一大批国内外知名的专家教授,,,,一,学院始终以为国家培养高质量的公共卫生与预防医学和卫生管理高层次人才为己任，培养和造就了一大批国内外知名的专家教授，在国家及地区疾病的预防控制和卫生事业的发展中发挥了重要作用。
公共卫生学院,学院,造就,一大批国内外知名的专家教授,,,,一,学院始终以为国家培养高质量的公共卫生与预防医学和卫生管理高层次人才为己任，培养和造就了一大批国内外知名的专家教授，在国家及地区疾病的预防控制和卫生事业的发展中发挥了重要作用。
公共卫生学院,学院,发挥,重要作用,,,,,学院始终以为国家培养高质量的公共卫生与预防医学和卫生管理高层次人才为己任，培养和造就了一大批国内外知名的专家教授，在国家及地区疾病的预防控制和卫生事业的发展中发挥了重要作用。
公共卫生学院,学院,控制,重大疾病和贡献科学决策,,,,,学院以保障人群健康、控制重大疾病和贡献科学决策为目标，形成了“重大疾病的流行规律与控制”、“环境医学与卫生毒理”、“人口健康与健康行为”、“社区医学与卫生服务”、“卫生政策与管理”等研究团队，多学科结合积极开展影响全球及区域健康项目，主要研究领域涉及流行病学和卫生统计学、职业健康与环境卫生学、营养学、社会医学与卫生事业管理、妇幼健康等。
公共卫生学院,学院,为,目标,,,,,学院以保障人群健康、控制重大疾病和贡献科学决策为目标，形成了“重大疾病的流行规律与控制”、“环境医学与卫生毒理”、“人口健康与健康行为”、“社区医学与卫生服务”、“卫生政策与管理”等研究团队，多学科结合积极开展影响全球及区域健康项目，主要研究领域涉及流行病学和卫生统计学、职业健康与环境卫生学、营养学、社会医学与卫生事业管理、妇幼健康等。
公共卫生学院,学院,形成,“重大疾病的流行规律与控制”、“环境医学与卫生毒理”、“人口健康与健康行为”、“社区医学与卫生服务”、“卫生政策与管理”等研究团队，多学科结合积极开展影响全球及区域健康项目，主要研究领域涉及流行病学和卫生统计学、职业健康与环境卫生学、营养学、社会医学与卫生事业管理、妇幼健康等,,,,,学院以保障人群健康、控制重大疾病和贡献科学决策为目标，形成了“重大疾病的流行规律与控制”、“环境医学与卫生毒理”、“人口健康与健康行为”、“社区医学与卫生服务”、“卫生政策与管理”等研究团队，多学科结合积极开展影响全球及区域健康项目，主要研究领域涉及流行病学和卫生统计学、职业健康与环境卫生学、营养学、社会医学与卫生事业管理、妇幼健康等。
公共卫生学院,学院,结合,积极开展影响全球及区域健康项目,,,,,学院以保障人群健康、控制重大疾病和贡献科学决策为目标，形成了“重大疾病的流行规律与控制”、“环境医学与卫生毒理”、“人口健康与健康行为”、“社区医学与卫生服务”、“卫生政策与管理”等研究团队，多学科结合积极开展影响全球及区域健康项目，主要研究领域涉及流行病学和卫生统计学、职业健康与环境卫生学、营养学、社会医学与卫生事业管理、妇幼健康等。
公共卫生学院,学院,开展,影响全球及区域健康项目,,,,,学院以保障人群健康、控制重大疾病和贡献科学决策为目标，形成了“重大疾病的流行规律与控制”、“环境医学与卫生毒理”、“人口健康与健康行为”、“社区医学与卫生服务”、“卫生政策与管理”等研究团队，多学科结合积极开展影响全球及区域健康项目，主要研究领域涉及流行病学和卫生统计学、职业健康与环境卫生学、营养学、社会医学与卫生事业管理、妇幼健康等。
公共卫生学院,学院,影响,全球及区域健康项目,,,,,学院以保障人群健康、控制重大疾病和贡献科学决策为目标，形成了“重大疾病的流行规律与控制”、“环境医学与卫生毒理”、“人口健康与健康行为”、“社区医学与卫生服务”、“卫生政策与管理”等研究团队，多学科结合积极开展影响全球及区域健康项目，主要研究领域涉及流行病学和卫生统计学、职业健康与环境卫生学、营养学、社会医学与卫生事业管理、妇幼健康等。
公共卫生学院,学院,研究,领域涉及流行病学和卫生统计学、职业健康与环境卫生学、营养学、社会医学与卫生事业管理、妇幼健康等,,,,,学院以保障人群健康、控制重大疾病和贡献科学决策为目标，形成了“重大疾病的流行规律与控制”、“环境医学与卫生毒理”、“人口健康与健康行为”、“社区医学与卫生服务”、“卫生政策与管理”等研究团队，多学科结合积极开展影响全球及区域健康项目，主要研究领域涉及流行病学和卫生统计学、职业健康与环境卫生学、营养学、社会医学与卫生事业管理、妇幼健康等。
公共卫生学院,学院,涉及,流行病学和卫生统计学、职业健康与环境卫生学、营养学、社会医学与卫生事业管理、妇幼健康等,,,,,学院以保障人群健康、控制重大疾病和贡献科学决策为目标，形成了“重大疾病的流行规律与控制”、“环境医学与卫生毒理”、“人口健康与健康行为”、“社区医学与卫生服务”、“卫生政策与管理”等研究团队，多学科结合积极开展影响全球及区域健康项目，主要研究领域涉及流行病学和卫生统计学、职业健康与环境卫生学、营养学、社会医学与卫生事业管理、妇幼健康等。
公共卫生学院,成长,形成,以中青年学者为主体的教学与研究群体,,,,,中青年教师成长迅速，已形成了以中青年学者为主体的教学与研究群体，学科的综合实力和特色优势进一步发展，科研实力不断提升，国际合作发展迅速。
公共卫生学院,优势,发展,科研实力不断提升,,,,,中青年教师成长迅速，已形成了以中青年学者为主体的教学与研究群体，学科的综合实力和特色优势进一步发展，科研实力不断提升，国际合作发展迅速。
公共卫生学院,科研实力,提升,国际合作发展迅速,,,,,中青年教师成长迅速，已形成了以中青年学者为主体的教学与研究群体，学科的综合实力和特色优势进一步发展，科研实力不断提升，国际合作发展迅速。
公共卫生学院,国际合作发展,迅速,,,,,,中青年教师成长迅速，已形成了以中青年学者为主体的教学与研究群体，学科的综合实力和特色优势进一步发展，科研实力不断提升，国际合作发展迅速。
公共卫生学院,学院师生,奉献,精神,,,,,学院师生本着无私奉献的精神和卓越的能力，在公共卫生和人群健康领域取得了令人瞩目的成就，科研成果直接应用于国家卫生决策，部分国际合作研究成果为世界卫生组织所推广，在国内外赢得了很高的学术声誉。
公共卫生学院,学院师生,取得,令人瞩目的成就,,卫生,,,学院师生本着无私奉献的精神和卓越的能力，在公共卫生和人群健康领域取得了令人瞩目的成就，科研成果直接应用于国家卫生决策，部分国际合作研究成果为世界卫生组织所推广，在国内外赢得了很高的学术声誉。
公共卫生学院,学院师生,令,人瞩目,,卫生,,,学院师生本着无私奉献的精神和卓越的能力，在公共卫生和人群健康领域取得了令人瞩目的成就，科研成果直接应用于国家卫生决策，部分国际合作研究成果为世界卫生组织所推广，在国内外赢得了很高的学术声誉。
公共卫生学院,学院师生,瞩目,成就,,卫生,,,学院师生本着无私奉献的精神和卓越的能力，在公共卫生和人群健康领域取得了令人瞩目的成就，科研成果直接应用于国家卫生决策，部分国际合作研究成果为世界卫生组织所推广，在国内外赢得了很高的学术声誉。
公共卫生学院,学院师生,应用于,国家卫生决策,,,,,学院师生本着无私奉献的精神和卓越的能力，在公共卫生和人群健康领域取得了令人瞩目的成就，科研成果直接应用于国家卫生决策，部分国际合作研究成果为世界卫生组织所推广，在国内外赢得了很高的学术声誉。
公共卫生学院,学院师生,推广,在国内外赢得了很高的学术声誉,,世界卫生组织,,部分,学院师生本着无私奉献的精神和卓越的能力，在公共卫生和人群健康领域取得了令人瞩目的成就，科研成果直接应用于国家卫生决策，部分国际合作研究成果为世界卫生组织所推广，在国内外赢得了很高的学术声誉。
