师资队伍,专家学者,是复旦大学的资源,,,,,,﻿高水平的专家学者是复旦大学的第一资源。
师资队伍,复旦,引进,海外顶尖人才,近年,,,,近年来，复旦积极引进海外顶尖人才，实施“复旦卓越人才发展计划”，加大对中青年教师的培养力度。
师资队伍,复旦,实施,“复旦卓越人才发展计划”,近年,,,,近年来，复旦积极引进海外顶尖人才，实施“复旦卓越人才发展计划”，加大对中青年教师的培养力度。
师资队伍,复旦,加大,对中青年教师的培养力度,近年,,,,近年来，复旦积极引进海外顶尖人才，实施“复旦卓越人才发展计划”，加大对中青年教师的培养力度。
师资队伍,,教学,科研人员2859人,目前,,,2859,目前，在校教学科研人员2859人。
师资队伍,,拥有,中国科学院、中国工程院院士44人,,,,44,拥有中国科学院、中国工程院院士44人，文科杰出教授1人，文科资深教授11人，入选中央“千人计划”142人，入选长江学者特聘教授94人。
师资队伍,,入选,中央“千人计划”142人,,,,千,拥有中国科学院、中国工程院院士44人，文科杰出教授1人，文科资深教授11人，入选中央“千人计划”142人，入选长江学者特聘教授94人。
师资队伍,,入选,长江学者特聘教授94人,,,,94,拥有中国科学院、中国工程院院士44人，文科杰出教授1人，文科资深教授11人，入选中央“千人计划”142人，入选长江学者特聘教授94人。
师资队伍,教师,为,天职,,,,,教师以育人为天职，是复旦教职员工的共识。
师资队伍,学校,要求,所有专任教师必须参与教学,,,,,学校要求，所有专任教师必须参与教学，所有高级职称教师必须为本科生开课。
师资队伍,学校,必须,教学,,,,,学校要求，所有专任教师必须参与教学，所有高级职称教师必须为本科生开课。
师资队伍,学校,参与,教学,,,,,学校要求，所有专任教师必须参与教学，所有高级职称教师必须为本科生开课。
师资队伍,职称教师,必须,为本科生,,,,,学校要求，所有专任教师必须参与教学，所有高级职称教师必须为本科生开课。
师资队伍,职称教师,开课,,,,,,学校要求，所有专任教师必须参与教学，所有高级职称教师必须为本科生开课。
师资队伍,教授,开授,本科课程比例超过80%,,,,80%,每年在编教授开授本科课程比例超过80%。
师资队伍,教授,超过,,,,,80%,每年在编教授开授本科课程比例超过80%。
师资队伍,学校,推进,教师队伍,近年,,,,近年来，学校也大力推进教师队伍的国际化建设，聘请了大批海内外学者来校为本科生授课，以拓宽学生的国际视野。
师资队伍,学校,聘请,大批海内外学者来校为本科生授课,近年,,,大批,近年来，学校也大力推进教师队伍的国际化建设，聘请了大批海内外学者来校为本科生授课，以拓宽学生的国际视野。
师资队伍,学校,来校为,本科生,近年,,,大批,近年来，学校也大力推进教师队伍的国际化建设，聘请了大批海内外学者来校为本科生授课，以拓宽学生的国际视野。
师资队伍,学校,授课,学生的国际视野,近年,,,大批,近年来，学校也大力推进教师队伍的国际化建设，聘请了大批海内外学者来校为本科生授课，以拓宽学生的国际视野。
师资队伍,学校,拓宽,学生的国际视野,近年,,,,近年来，学校也大力推进教师队伍的国际化建设，聘请了大批海内外学者来校为本科生授课，以拓宽学生的国际视野。
师资队伍,,有,来自近20个国家和地区的50多位全职外籍专业教师活跃在近20个院系的讲台上,目前,,,20,目前，有来自近20个国家和地区的50多位全职外籍专业教师活跃在近20个院系的讲台上。
师资队伍,,来自,近20个国家和地区,目前,,,20,目前，有来自近20个国家和地区的50多位全职外籍专业教师活跃在近20个院系的讲台上。
师资队伍,,活跃,在近20个院系的讲台上,目前,,,20,目前，有来自近20个国家和地区的50多位全职外籍专业教师活跃在近20个院系的讲台上。
师资队伍,,讲,台上,目前,,,20,目前，有来自近20个国家和地区的50多位全职外籍专业教师活跃在近20个院系的讲台上。
